real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
-6.562173,-5.428624,457,Training,2,1
-11.591216,-10.57198,30,Training,2,1
-11.366404,-9.655735,328,Training,2,1
9.081853,4.153813,3,Training,2,1
-8.360079,-8.059183,62,Training,2,1
-4.6817904,-4.417998,216,Training,2,1
11.582187,9.048033,472,Training,2,1
13.492493,12.639024,676,Training,2,1
-8.056087,-7.3674207,10,Training,2,1
-4.8476205,-4.3825765,215,Training,2,1
-9.081853,-9.063885,75,Training,2,1
-8.761648,-7.5241523,48,Training,2,1
9.860089,8.592325,672,Training,2,1
13.121934,8.90215,539,Training,2,1
7.573369,5.824843,99,Training,2,1
-11.582187,-8.375423,205,Training,2,1
7.828552,11.973157,674,Training,2,1
-9.234157,-7.004701,63,Training,2,1
-2.951785,-4.3695383,34,Training,2,1
-5.182881,-7.0194855,80,Training,2,1
6.3323684,7.5845037,469,Training,2,1
-8.208399,-5.5622725,616,Training,2,1
-8.617138,-7.88549,233,Training,2,1
8.538893,9.153553,280,Training,2,1
-11.243289,-7.6775036,311,Training,2,1
7.573369,8.320035,121,Training,2,1
9.8433695,9.544559,517,Training,2,1
-2.0416784,-5.8819475,465,Training,2,1
6.227926,7.5245175,98,Training,2,1
9.809491,10.885248,480,Training,2,1
5.7354274,5.5935545,317,Training,2,1
7.1635184,7.556001,193,Training,2,1
7.911209,6.7638083,357,Training,2,1
-5.05872,-4.401172,35,Training,2,1
-5.681445,-6.735372,50,Training,2,1
14.222214,12.810433,634,Training,2,1
8.645655,11.118826,668,Training,2,1
11.200126,8.628791,490,Training,2,1
9.809491,10.234188,404,Training,2,1
7.0493245,6.8136187,471,Training,2,1
7.2991705,5.8193293,227,Training,2,1
-12.103264,-10.603565,25,Training,2,1
7.911209,7.2312155,186,Training,2,1
5.05872,4.2771235,378,Training,2,1
7.573369,6.1619835,411,Training,2,1
-6.562173,-5.3446574,459,Training,2,1
8.222192,5.8462234,360,Training,2,1
11.582187,10.688592,543,Training,2,1
9.081853,8.771175,102,Training,2,1
-11.391156,-8.576087,71,Training,2,1
9.809491,10.006627,659,Training,2,1
-7.1635184,-7.246666,536,Training,2,1
-13.121934,-11.115981,202,Training,2,1
-10.780248,-10.567728,160,Training,2,1
-6.2163453,-5.344754,456,Training,2,1
2.809536,5.840052,511,Training,2,1
-6.3323684,-5.325031,96,Training,2,1
7.1635184,7.3635855,188,Training,2,1
-11.582187,-9.532358,141,Training,2,1
-10.152485,-7.585138,46,Training,2,1
8.911627,10.106506,520,Training,2,1
